open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,sma_7d,sma_30d,sma_50d,sma_100d,return,volatility_20,volatility_50,volatility_100,volatility_14d,rsi_14,rsi_14d,MACD,Signal,MACD_Hist,volume_rel20,volume_rel20d,will_up
2025-09-06 05:00:00,203.23,203.35,202.13,202.26,127888.589,25928708.10421,35676,53677.531,10881706.70033,0.0,0.0,0.0,0.0,-0.004772917384244457,0.00979844035490378,0.007483424721357625,0.0,0.0,44.61920529801319,0.0,1.225755183811799,0.5320803193110301,0.693674864500769,0.8480745682708305,0.0,True
2025-09-06 06:00:00,202.26,202.64,202.07,202.44,60366.1,12217173.07324,30577,42057.031,8512033.16731,0.0,0.0,0.0,0.0,0.000889943636902979,0.009799025549754042,0.007459506354400178,0.0,0.0,44.52736318407963,0.0,1.21963952031669,0.5384172704723725,0.6812222498443176,0.40089636256333827,0.0,True
2025-09-06 07:00:00,202.44,203.27,202.4,203.03,41614.96,8441344.95565,22249,27980.945,5675113.2717,0.0,0.0,0.0,0.0,0.00291444378581307,0.009797095312576855,0.007471538646095834,0.0,0.0,52.74336283185842,0.0,1.2157536501067625,0.5446600020819061,0.6710936480248564,0.28069879599054626,0.0,True
2025-09-06 08:00:00,203.03,203.56,202.66,203.49,46621.663,9473759.50718,24383,16649.835,3382170.28136,0.0,0.0,0.0,0.0,0.002265675023395586,0.009396474851312599,0.007475401076980855,0.0,0.0,45.73170731707316,0.0,1.213591488202212,0.5508252692350887,0.6627662189671234,0.3717039617333658,0.0,False
2025-09-06 09:00:00,203.49,203.49,202.68,202.69,45058.363,9152863.13632,26489,11473.265,2330210.39482,0.0,0.0,0.0,0.0,-0.003931397120251701,0.009359322229642255,0.007487862475928626,0.0,0.0,35.57187827911861,0.0,1.208447952829772,0.5568863077935651,0.651561645036207,0.388779098999522,0.0,True
2025-09-06 10:00:00,202.69,203.1,202.42,202.91,50787.082,10297066.93459,28427,17366.932,3521120.33315,0.0,0.0,0.0,0.0,0.001085401351818005,0.004972174274963321,0.007484101614747709,0.0,0.0,36.24091381100727,0.0,1.204148088138055,0.5628518541561871,0.641296233981868,0.580118341757511,0.0,False
2025-09-06 11:00:00,202.91,202.93,201.8,202.38,84445.609,17086753.1498,34242,20684.031,4185907.25203,0.0,0.0,0.0,0.0,-0.0026119954659701294,0.004773896937065094,0.007452372699325349,0.0,0.0,45.14877102199225,0.0,1.1978931583160772,0.5687047694019004,0.6291883889141768,1.0881918846090135,0.0,False
2025-09-06 12:00:00,202.38,202.87,202.2,202.27,29564.62,5986453.5347,24942,14848.058,3006865.08294,0.0,0.0,0.0,0.0,-0.0005435319695621388,0.004764846195667361,0.007446934558680972,0.0,0.0,36.49635036496354,0.0,1.1912656190511086,0.5744426574171005,0.6168229616340081,0.413262260881298,0.0,True
2025-09-06 13:00:00,202.27,202.49,201.41,202.33,74711.477,15081576.44265,41862,31789.39,6417444.32286,0.0,0.0,0.0,0.0,0.00029663321303208257,0.0045311619322429735,0.007446157775209426,0.0,0.0,41.6260162601626,0.0,1.1849018504111655,0.5800690094262625,0.604832840984903,1.0917907099219828,0.0,False
2025-09-06 14:00:00,202.33,202.66,201.86,202.05,73697.327,14903317.32096,34885,33861.043,6846065.15987,0.0,0.0,0.0,0.0,-0.0013838778233579152,0.003946410922668024,0.007396540587355685,0.0,0.0,34.628378378378486,0.0,1.17753438852057,0.5855756027819704,0.5919587857385996,1.1201406606019728,0.0,False
2025-09-06 15:00:00,202.05,202.28,201.01,201.26,72406.443,14598137.8086,45075,28323.091,5711250.7872,0.0,0.0,0.0,0.0,-0.003909923286315342,0.0037485449073426814,0.0073667484088730814,0.0,0.0,24.473257698541474,0.0,1.1672761203348045,0.5909368978746232,0.5763392224601813,1.1361770721902138,0.0,True
2025-09-06 16:00:00,201.26,202.37,200.75,201.62,83586.694,16837480.71419,57486,38973.722,7855955.14351,0.0,0.0,0.0,0.0,0.0017887309947333119,0.003785184837066763,0.0072927902098785646,0.0,0.0,29.08242612752744,0.0,1.1584349426774452,0.5961672946009166,0.5622676480765286,1.3032718336857894,0.0,False
2025-09-06 17:00:00,201.62,201.79,199.62,200.15,137410.525,27533941.82752,59644,46466.724,9316336.3099,0.0,0.0,0.0,0.0,-0.007290943358793767,0.003189732634500799,0.007279642014855304,0.0,0.0,24.412532637075984,0.0,1.1441883813150184,0.6012181801927516,0.5429702011222668,2.1511766683596805,0.0,False
